CRPName,CID,Party,DistIDRunFor,State,District,Name
"Buck, George",N00042576,R,FL13,FL,13,George Buck
"Buck, Kenneth R",N00030829,R,CO04,CO,4,Kenneth R Buck
"Bucshon, Larry",N00031227,R,IN08,IN,8,Larry Bucshon
"Budd, Ted",N00039551,R,NC13,NC,13,Ted Budd
"Bulger, Jason",N00042401,I,FL04,FL,4,Jason Bulger
"Bunkeddeko, Adem",N00041850,D,NY09,NY,9,Adem Bunkeddeko
"Bunny, Sean",N00041987,D,NY27,NY,27,Sean Bunny
"Burch, Lorie",N00041192,D,TX03,TX,3,Lorie Burch
"Burchett, Tim",N00041594,R,TN02,TN,2,Tim Burchett
"Burgess, James E",N00042189,R,OH03,OH,3,James E Burgess
"Burgess, Michael",N00025219,R,TX26,TX,26,Michael Burgess
"Burkett, Mary",N00041886,R,UT02,UT,2,Mary Burkett
"Burkhart, Eric",N00041408,R,TX21,TX,21,Eric Burkhart
"Burleigh, Danny",N00043079,D,NVS1,NV,S1,Danny Burleigh
"Burnette, Eric",N00041858,D,OR02,OR,2,Eric Burnette
"Burns, Bob",N00043442,R,NH02,NH,2,Bob Burns
"Burns, Cullen",N00042946,L,TX29,TX,29,Cullen Burns
"Burns, Mark",N00042910,R,SC04,SC,4,Mark Burns
"Burum, Jeffrey",N00041633,R,CA26,CA,26,Jeffrey Burum
"Busby, Gerald Lee",N00042553,I,ALS1,AL,S1,Gerald Lee Busby
"Bush, Aaron Michael",N00041116,D,IN02,IN,2,Aaron Michael Bush
"Bush, Cori",N00039373,D,MO01,MO,1,Cori Bush
"Bush, Diane Mitsch",N00041317,D,CO03,CO,3,Diane Mitsch Bush
"Bustos, Cheri",N00033390,D,IL17,IL,17,Cheri Bustos
"Butler, Jineea",N00043037,R,NY13,NY,13,Jineea Butler
"Butler, Jon",N00043635,I,WAS1,WA,S1,Jon Butler
"Butler, Joshua A",N00040764,D,TX07,TX,7,Joshua A Butler
"Butner, Josh",N00040872,D,CA50,CA,50,Josh Butner
"Buttar, Shahid",N00042779,D,CA12,CA,12,Shahid Buttar
"Butterfield, G K",N00027035,D,NC01,NC,1,G K Butterfield
"Butts, Pamela Pinkney",N00042192,D,OH11,OH,11,Pamela Pinkney Butts
"Byrne, Bradley",N00035380,R,AL01,AL,1,Bradley Byrne
"Byrne, Michael",N00043222,D,OR02,OR,2,Michael Byrne
"Cabildo, Maria",N00040647,D,CA34,CA,34,Maria Cabildo
"Cadena , Angel",N00039948,R,CT03,CT,3,Angel Cadena 
"Cadien, Tawana",N00034726,D,TX10,TX,10,Tawana Cadien
"Caffrey, Andy",N00033505,D,CA02,CA,2,Andy Caffrey
"Caforio, Bryan",N00038607,D,CA25,CA,25,Bryan Caforio
"Cain, Butler",N00041054,D,AL05,AL,5,Butler Cain
"Caiozzo, Salvatore",N00040178,R,RI02,RI,2,Salvatore Caiozzo
"Calderon, Roza",N00041067,D,CA04,CA,4,Roza Calderon
"Caldwell, Kevin",N00041814,L,MD06,MD,6,Kevin Caldwell
"Caldwell, Randy",N00043100,R,AR04,AR,4,Randy Caldwell
"Caldwell, Vann",N00041271,D,ALS1,AL,S1,Vann Caldwell
"Caligiuri, Ginny",N00042820,R,IA02,IA,2,Ginny Caligiuri
"Callahan, David",N00043016,R,GA13,GA,13,David Callahan
"Callahan, Mark",N00041528,R,OR05,OR,5,Mark Callahan
"Callaway, Jeff",N00042920,L,TX01,TX,1,Jeff Callaway
"Callesto, Chuck",N00043317,R,FL03,FL,3,Chuck Callesto
"Calvert, Ken",N00007099,R,CA42,CA,42,Ken Calvert
"Cambers, Kress",N00041829,R,MO05,MO,5,Kress Cambers
"Cameron, Craig",N00041346,R,IL07,IL,7,Craig Cameron
"Campa-Najjar, Ammar",N00040871,D,CA50,CA,50,Ammar Campa-Najjar
"Campagna, Sheryl",N00042108,D,HI02,HI,2,Sheryl Campagna
"Campbell, Danny",N00042233,R,TX05,TX,5,Danny Campbell
"Campbell, Doug",N00041138,I,MT01,MT,1,Doug Campbell
"Campbell, Japheth",N00041619,L,MOS2,MO,S2,Japheth Campbell
"Campbell, Mike",N00013089,R,IN06,IN,6,Mike Campbell
"Campbell, Tom",N00041738,R,ND01,ND,1,Tom Campbell
"Campbell, Tony",N00042978,R,MDS1,MD,S1,Tony Campbell
"Camper, Candance",N00041311,R,CA43,CA,43,Candance Camper
"Campos, Allen",N00042304,D,WI07,WI,7,Allen Campos
"Campoverdi, Alejandra",N00040611,D,CA34,CA,34,Alejandra Campoverdi
"Canada, Tom",N00043102,L,AR04,AR,4,Tom Canada
"Canales, Judy",N00041880,D,TX23,TX,23,Judy Canales
"Cano, Christian",N00038436,D,NC09,NC,9,Christian Cano
"Canon, Dan",N00041347,D,IN09,IN,9,Dan Canon
"Canova, Tim",N00038633,I,FL23,FL,23,Tim Canova
"Canseco, Quico",N00026722,R,TX21,TX,21,Quico Canseco
"Cantu, James",N00041405,R,TX08,TX,8,James Cantu
"Cantwell, Maria",N00007836,D,WAS1,WA,S1,Maria Cantwell
"Capuano, Michael E",N00000267,D,MA07,MA,7,Michael E Capuano
"Caraway, Barbara Mallory",N00033544,D,TX30,TX,30,Barbara Mallory Caraway
"Carbajal, Salud",N00037015,D,CA24,CA,24,Salud Carbajal
"Cardenas, Beatrice",N00042571,R,CA27,CA,27,Beatrice Cardenas
"Cardenas, Tony",N00033373,D,CA29,CA,29,Tony Cardenas
"Cardin, Ben",N00001955,D,MDS1,MD,S1,Ben Cardin
"Carey, Pete",N00042956,3,VA11,VA,11,Pete Carey
"Cargas, James",N00034135,D,TX07,TX,7,James Cargas
"Carico, John",N00043569,I,TNS1,TN,S1,John Carico
"Carlson, Collin Richard",N00043606,I,WA02,WA,2,Collin Richard Carlson
"Carlson, Kristen",N00043423,D,FL15,FL,15,Kristen Carlson
"Carlson, Rob",N00042872,D,NJ01,NJ,1,Rob Carlson
"Carlson, Steve",N00032688,D,MNS2,MN,S2,Steve Carlson
"Carlton, Todd",N00039427,D,TX08,TX,8,Todd Carlton
"Carmona, Arturo",N00040612,D,CA34,CA,34,Arturo Carmona
"Carp, Evan",N00040944,R,OH14,OH,14,Evan Carp
"Carpenter, Crystal",N00042350,I,HIS2,HI,S2,Crystal Carpenter
"Carpenter, Douglas",N00036120,D,IN02,IN,2,Douglas Carpenter
"Carper, Tom",N00012508,D,DES1,DE,S1,Tom Carper
"Carr, Bob",N00004098,R,MIS2,MI,S2,Bob Carr
"Carrigan, Sean",N00041693,D,SC02,SC,2,Sean Carrigan
"Carrillo, John Rene",N00041703,D,TX16,TX,16,John Rene Carrillo
"Carrillo, Wendy",N00040598,D,CA34,CA,34,Wendy Carrillo
"Carroll, Brian",N00042070,I,CA22,CA,22,Brian Carroll
"Carroll, Jerry Leon",N00007498,I,CAS2,CA,S2,Jerry Leon Carroll
"Carson, Andre",N00029513,D,IN07,IN,7,Andre Carson
"Carter, Anthony",N00042451,D,MD07,MD,7,Anthony Carter
"Carter, Buddy",N00035346,R,GA01,GA,1,Buddy Carter
"Carter, John",N00025095,R,TX31,TX,31,John Carter
"Carter, Patrick",N00042879,R,NV03,NV,3,Patrick Carter
"Cartwright, Matt",N00034128,D,PA08,PA,8,Matt Cartwright
"Casara, Daniel",N00041315,R,CA52,CA,52,Daniel Casara
"Casas, Mason",N00040977,D,TX11,TX,11,Mason Casas
"Case, Ed",N00025882,D,HI01,HI,1,Ed Case
"Casey, Bob",N00027503,D,PAS2,PA,S2,Bob Casey
"Casey, Keith",N00038807,R,TX14,TX,14,Keith Casey
"Casey, Thomas",N00025817,D,NY27,NY,27,Thomas Casey
"Casson, Thomas",N00036093,I,AL03,AL,3,Thomas Casson
"Castaldo, Richard",N00043366,L,OK02,OK,2,Richard Castaldo
"Castaneda, Julio",N00041074,I,CA39,CA,39,Julio Castaneda
"Casten, Sean",N00041338,D,IL06,IL,6,Sean Casten
"Castillo, Lee",N00043050,D,UT01,UT,1,Lee Castillo
"Castor, Kathy",N00027514,D,FL14,FL,14,Kathy Castor
"Castro, Joaquin",N00033316,D,TX20,TX,20,Joaquin Castro
"Cavanaugh, Kevin",N00040639,R,AZ01,AZ,1,Kevin Cavanaugh
"Cavasso, Cam",N00027227,R,HI01,HI,1,Cam Cavasso
"Cerilli, Gina",N00041999,D,PA14,PA,14,Gina Cerilli
"Chabot, Steve",N00003689,R,OH01,OH,1,Steve Chabot
"Chadwick, Gloria",N00040668,D,CA50,CA,50,Gloria Chadwick
"Chaffee, Chris",N00036537,R,MDS1,MD,S1,Chris Chaffee
"Chamberlin, Christopher",N00042153,R,MN05,MN,5,Christopher Chamberlin
"Chandler, Alexandra",N00042136,D,MA03,MA,3,Alexandra Chandler
"Chapin, Dan R",N00043138,I,CO06,CO,6,Dan R Chapin
"Charbonneau, Mary Jean",N00010148,I,MA06,MA,6,Mary Jean Charbonneau
"Charles, Richard",N00034591,I,NVS1,NV,S1,Richard Charles
"Chase, Brad",N00043633,3,WAS1,WA,S1,Brad Chase
"Chastain, Chris",N00042214,D,SC04,SC,4,Chris Chastain
"Chatlos, Rob",N00041661,D,IN09,IN,9,Rob Chatlos
"Chauncey, Shelly",N00042495,D,PA05,PA,5,Shelly Chauncey
"Chavez, Annie",N00041519,D,NM01,NM,1,Annie Chavez
"Chavez, Norma",N00042257,D,TX16,TX,16,Norma Chavez
"Chavez, Rocky",N00036918,R,CA49,CA,49,Rocky Chavez
"Cheader, Robert Neil",N00041070,I,CA20,CA,20,Robert Neil Cheader
"Cheadle, Gregory",N00034603,R,CA01,CA,1,Gregory Cheadle
"Chen, Jay",N00034000,D,CA39,CA,39,Jay Chen
"Cheney, Carole",N00041339,D,IL06,IL,6,Carole Cheney
"Cheney, Liz",N00035504,R,WY01,WY,1,Liz Cheney
"Cherfilus-Mccormick, Sheila",N00043504,D,FL20,FL,20,Sheila Cherfilus-Mccormick
"Cherny, Dimitri",N00036868,R,SC01,SC,1,Dimitri Cherny
"Chery, Jacques",N00042156,D,MO06,MO,6,Jacques Chery
"Chesser, Allen",N00041836,R,NC02,NC,2,Allen Chesser
"Chiero, Gary",N00042695,R,OH12,OH,12,Gary Chiero
"Chillara, Sridhar",N00043033,R,NJ06,NJ,6,Sridhar Chillara
"Chin, Doug",N00042106,D,HI01,HI,1,Doug Chin
"Chirino, Angie",N00042099,R,FL27,FL,27,Angie Chirino
"Choudhury, Mizanur",N00043204,D,NY05,NY,5,Mizanur Choudhury
"Chrin, John",N00041182,R,PA08,PA,8,John Chrin
"Christensen, Jason",N00041229,3,UT03,UT,3,Jason Christensen
"Christiana, Jim",N00041043,R,PAS2,PA,S2,Jim Christiana
"Christie, Jennifer",N00042433,D,IN05,IN,5,Jennifer Christie
"Chu, Judy",N00030600,D,CA27,CA,27,Judy Chu
"Chubb, Larry",N00042823,D,IN01,IN,1,Larry Chubb
"Churchman, Peter",N00042934,L,TX17,TX,17,Peter Churchman
"Ciardullo, Joe",N00043448,3,NY17,NY,17,Joe Ciardullo
"Cicilline, David",N00032019,D,RI01,RI,1,David Cicilline
"Cimbrelo, Bill",N00040168,D,MA09,MA,9,Bill Cimbrelo
"Cisneros, Gil",N00041464,D,CA39,CA,39,Gil Cisneros
"Clark, Anthony",N00041111,D,IL07,IL,7,Anthony Clark
"Clark, David",N00043236,D,PA07,PA,7,David Clark
"Clark, Katherine",N00035278,D,MA05,MA,5,Katherine Clark
"Clark, Ken",N00043053,R,UT02,UT,2,Ken Clark
"Clark, Mike",N00038836,D,TX31,TX,31,Mike Clark
"Clarke, Yvette D",N00026961,D,NY09,NY,9,Yvette D Clarke
"Clarkson, Gavin",N00042175,R,NM02,NM,2,Gavin Clarkson
"Clasby, James Brian",N00041689,I,NY23,NY,23,James Brian Clasby
"Clay, Nathan",N00040879,3,CO07,CO,7,Nathan Clay
"Clay, William L Jr",N00012460,D,MO01,MO,1,William L Jr Clay
"Claytor, Chris",N00025105,L,TX03,TX,3,Chris Claytor
"Claytor, Reginald H",N00043110,I,CA07,CA,7,Reginald H Claytor
"Cleaver, Emanuel",N00026790,D,MO05,MO,5,Emanuel Cleaver
"Cleaves, Phil",N00040911,D,ME02,ME,2,Phil Cleaves
"Clegg, Dave",N00041381,D,NY19,NY,19,Dave Clegg
"Clements, Paul",N00035238,D,MI06,MI,6,Paul Clements
"Clemmons, Christopher",N00042436,L,KS03,KS,3,Christopher Clemmons
"Cleveland, Hosea",N00036373,D,SC03,SC,3,Hosea Cleveland
"Clifford, David",N00042079,R,CA47,CA,47,David Clifford
"Cline, Ben",N00042296,R,VA06,VA,6,Ben Cline
"Cloud, Michael",N00041882,R,TX27,TX,27,Michael Cloud
"Clyburn, James E",N00002408,D,SC06,SC,6,James E Clyburn
"Cobb, Alan Earl",N00040717,R,KS04,KS,4,Alan Earl Cobb
"Cobb, Tedra",N00041382,D,NY21,NY,21,Tedra Cobb
"Cobert, Mitchell",N00042168,D,NJ11,NJ,11,Mitchell Cobert
"Cockburn, Leslie",N00041460,D,VA05,VA,5,Leslie Cockburn
"Coday, Art",N00031451,R,WAS1,WA,S1,Art Coday
"Coffay, Matt",N00041147,D,NC11,NC,11,Matt Coffay
"Coffman, Bob",N00041639,D,FL06,FL,6,Bob Coffman
"Coffman, Mike",N00024753,R,CO06,CO,6,Mike Coffman
"Cohen, Bob",N00043449,3,NY19,NY,19,Bob Cohen
"Cohen, Lawrence",N00042484,R,OH12,OH,12,Lawrence Cohen
"Cohen, Ron",N00038408,R,CA17,CA,17,Ron Cohen
"Cohen, Steve",N00003225,D,TN09,TN,9,Steve Cohen
"Coker, Adam",N00038717,D,NC13,NC,13,Adam Coker
"Cole, Darren",N00040602,D,NY16,NY,16,Darren Cole
"Cole, Erin",N00041526,D,NY27,NY,27,Erin Cole
"Cole, Tom",N00025726,R,OK04,OK,4,Tom Cole
"Coleman, Andy",N00040745,R,OK01,OK,1,Andy Coleman
"Coleman, Bonnie",N00036158,D,NJ12,NJ,12,Bonnie Coleman
"Coleman, Linda",N00041976,D,NC02,NC,2,Linda Coleman
"Collias, Gina",N00042661,R,NC10,NC,10,Gina Collias
"Collica, Chip",N00041867,I,PA07,PA,7,Chip Collica
"Collier, Erin",N00042885,D,NY19,NY,19,Erin Collier
"Collins, Chris",N00001285,R,NY27,NY,27,Chris Collins
"Collins, Doug",N00033518,R,GA09,GA,9,Doug Collins
"Collins, Joe Edward",N00042611,D,CA43,CA,43,Joe Edward Collins
"Collins, Kellie",N00040694,D,GA10,GA,10,Kellie Collins
"Colombo, Nathan",N00040702,D,IL12,IL,12,Nathan Colombo
"Colton, Keith C",N00042689,R,OH09,OH,9,Keith C Colton
"Colvin, Alicia",N00043082,R,UTS1,UT,S1,Alicia Colvin
"Colvin, Jesse",N00041812,D,MD01,MD,1,Jesse Colvin
"Combee, Neil",N00043318,R,FL15,FL,15,Neil Combee
"Combs, Gwendolynn Millen",N00041476,D,AR02,AR,2,Gwendolynn Millen Combs
"Comegys, Scott",N00042475,D,NY24,NY,24,Scott Comegys
"Comer, James",N00038260,R,KY01,KY,1,James Comer
"Comer, Natasha Venita",N00042298,D,VA07,VA,7,Natasha Venita Comer
"Comstock, Barbara",N00036023,R,VA10,VA,10,Barbara Comstock
"Conaway, Mike",N00026041,R,TX11,TX,11,Mike Conaway
"Condit, Jim Jr",N00025431,3,OH02,OH,2,Jim Jr Condit
"Conley, Don III",N00042931,L,TX14,TX,14,Don III Conley
"Connelly, Chad",N00040756,R,SC05,SC,5,Chad Connelly
"Conner, Phillip",N00041806,D,LA03,LA,3,Phillip Conner
"Connolly, Gerry",N00029891,D,VA11,VA,11,Gerry Connolly
"Conyers, Ian",N00042855,D,MI13,MI,13,Ian Conyers
"Conyers, John III",N00042454,D,MI13,MI,13,John III Conyers
"Conyers, John Jr",N00004029,D,MI13,MI,13,John Jr Conyers
"Cook, John W",N00042518,R,TX10,TX,10,John W Cook
"Cook, Paul",N00034224,R,CA08,CA,8,Paul Cook
"Cooper, Bridgette",N00043024,R,MD08,MD,8,Bridgette Cooper
"Cooper, Dave",N00042815,D,GA09,GA,9,Dave Cooper
"Cooper, Jim",N00003132,D,TN05,TN,5,Jim Cooper
"Cooper, Jimmy",N00042103,3,GA08,GA,8,Jimmy Cooper
"Cooper, John",N00042506,R,TX04,TX,4,John Cooper
"Cope, Ken",N00036059,R,TX06,TX,6,Ken Cope
"Copeland, Maurice",N00043342,3,MO05,MO,5,Maurice Copeland
"Copley, Bo",N00041474,R,WVS1,WV,S1,Bo Copley
"Coppola, Sergio",N00041891,D,VA06,VA,6,Sergio Coppola
"Corbin-Johnson, Shavonnia",N00041859,D,PA10,PA,10,Shavonnia Corbin-Johnson
"Corby-O'Neill, Ruby",N00043501,R,CT05,CT,5,Ruby Corby-O'Neill
"Corey, Matthew",N00035056,R,CTS1,CT,S1,Matthew Corey
"Corker, Bob",N00027441,R,TNS1,TN,S1,Bob Corker
"Corlew, Bob",N00042503,R,TN06,TN,6,Bob Corlew
"Correa, Lou",N00037260,D,CA46,CA,46,Lou Correa
"Cortes Barragan, Rodolfo",N00042074,3,CA40,CA,40,Rodolfo Cortes Barragan
"Cortney, Michael",N00043543,R,WA03,WA,3,Michael Cortney
"Coson, Gary",N00042755,R,CAS2,CA,S2,Gary Coson
"Costa, Jim",N00026341,D,CA16,CA,16,Jim Costa
"Costello, Fred",N00038661,R,FL06,FL,6,Fred Costello
"Costello, Ryan",N00031064,R,PA06,PA,6,Ryan Costello
"Cottam, Bringham Rhead",N00041220,R,UT03,UT,3,Bringham Rhead Cottam
"Cottrell, Dana",N00043014,D,FL11,FL,11,Dana Cottrell
"Couch, John",N00042839,R,IN07,IN,7,John Couch
"Courtney, Joe",N00024842,D,CT02,CT,2,Joe Courtney
"Covington, Rachel",N00039102,R,IN08,IN,8,Rachel Covington
"Cowen, Martin",N00042816,L,GA13,GA,13,Martin Cowen
"Cox, Steve",N00041634,I,CA39,CA,39,Steve Cox
"Cox, T J",N00028122,D,CA21,CA,21,T J Cox
"Craddock, Jay",N00041040,D,NVS1,NV,S1,Jay Craddock
"Craig, Angie",N00037039,D,MN02,MN,2,Angie Craig
"Craig, Christine E",N00042904,D,PA07,PA,7,Christine E Craig
"Craig, Ray",N00039711,R,SC05,SC,5,Ray Craig
"Crain, Jo",N00043407,3,MOS2,MO,S2,Jo Crain
"Cramer, Kevin",N00004614,R,NDS2,ND,S2,Kevin Cramer
"Cramer, Tom",N00030990,D,WA08,WA,8,Tom Cramer
"Crary, Jim",N00039419,D,OR02,OR,2,Jim Crary
"Craven , Mike",N00042630,R,KY03,KY,3,Mike Craven 
"Crawford, Dennis",N00035619,D,NE01,NE,1,Dennis Crawford
"Crawford, Rick",N00030770,R,AR01,AR,1,Rick Crawford
"Crenshaw, Dan",N00042224,R,TX02,TX,2,Dan Crenshaw
"Crew, John ""Jack""",N00043281,R,CAS2,CA,S2,"John ""Jack"" Crew"
"Crider, Mike",N00041659,R,IN06,IN,6,Mike Crider
"Crim, Larry R",N00025648,R,TNS1,TN,S1,Larry R Crim
"Crist, Charlie",N00002942,D,FL13,FL,13,Charlie Crist
"Cristiani, Calen",N00040674,D,FL16,FL,16,Calen Cristiani
"Cristo, Anthony",N00042932,L,TX15,TX,15,Anthony Cristo
"Crochetiere, Bruce",N00043440,R,NH01,NH,1,Bruce Crochetiere
"Cronhardt, Evan",N00043293,R,MDS1,MD,S1,Evan Cronhardt
"Crossey, Michael J",N00041530,D,PA14,PA,14,Michael J Crossey
"Crow, Jason",N00040876,D,CO06,CO,6,Jason Crow
"Crow, Robert",N00030557,D,OH13,OH,13,Robert Crow
"Crowe, Derrick",N00040982,D,TX21,TX,21,Derrick Crowe
"Crowley, John",N00042407,D,FL14,FL,14,John Crowley
"Crowley, Joseph",N00001127,D,NY14,NY,14,Joseph Crowley
"Crutcher, Chanda Mills",N00042343,I,ALS1,AL,S1,Chanda Mills Crutcher
"Cruz, Erin",N00042557,R,CAS2,CA,S2,Erin Cruz
"Cruz, Ted",N00033085,R,TXS2,TX,S2,Ted Cruz
"Cuellar, Henry",N00024978,D,TX28,TX,28,Henry Cuellar
"Culberson, John",N00009738,R,TX07,TX,7,John Culberson
"Cullen, Jeffrey",N00043137,R,CA52,CA,52,Jeffrey Cullen
"Culler, Anthony",N00038790,R,TX01,TX,1,Anthony Culler
"Cullop, Ben",N00041416,D,VA05,VA,5,Ben Cullop
"Cullum, John",N00034497,R,CA39,CA,39,John Cullum
"Cummings, Dave",N00043015,R,FL18,FL,18,Dave Cummings
"Cummings, Elijah E",N00001971,D,MD07,MD,7,Elijah E Cummings
"Cunningham, Joe",N00041400,D,SC01,SC,1,Joe Cunningham
"Cunningham, Robb",N00028439,L,MO01,MO,1,Robb Cunningham
"Cunningham, William",N00042165,D,NJ02,NJ,2,William Cunningham
"Curbelo, Carlos",N00035403,R,FL26,FL,26,Carlos Curbelo
"Curtis, John",N00041221,R,UT03,UT,3,John Curtis
"Curtis, Tod",N00041348,D,IN09,IN,9,Tod Curtis
"Cutright, Judith",N00043464,I,TX27,TX,27,Judith Cutright
"D'Alessandro, Pete",N00041647,D,IA03,IA,3,Pete D'Alessandro
"D'Silva, Reuben",N00039564,D,NV01,NV,1,Reuben D'Silva
"Dacey, Scott",N00041364,R,NC03,NC,3,Scott Dacey
"Dady, Sara",N00041653,D,IL16,IL,16,Sara Dady
"Daggett, Tony",N00042824,D,IN01,IN,1,Tony Daggett
"Dagnesses, Rafael",N00035563,R,CA26,CA,26,Rafael Dagnesses
"Dahl, Paul",N00041946,D,IA04,IA,4,Paul Dahl
"Dahm, Nathan Ryan",N00031336,R,OK01,OK,1,Nathan Ryan Dahm
"Daley, Mary Jo",N00043234,D,PA04,PA,4,Mary Jo Daley
"Daly, Paul",N00043011,I,CO01,CO,1,Paul Daly
"Dandridge, Shawn",N00042241,R,TX06,TX,6,Shawn Dandridge
"Daniels, Sholdon",N00040970,R,TX04,TX,4,Sholdon Daniels
"Darius, Wade",N00042094,D,FL10,FL,10,Wade Darius
"Das, Abhijit Beej",N00041811,D,MA03,MA,3,Abhijit Beej Das
"Das, Mona",N00041422,D,WA08,WA,8,Mona Das
"Dash, Stacey",N00042786,R,CA44,CA,44,Stacey Dash
"Daugherty, Rick",N00033827,D,PA07,PA,7,Rick Daugherty
"David, Dan",N00042500,R,PA04,PA,4,Dan David
"David, Steven",N00041404,D,TX08,TX,8,Steven David
"Davids, Sharice",N00042626,D,KS03,KS,3,Sharice Davids
"Davidson, DeMarco",N00041828,D,MO01,MO,1,DeMarco Davidson
"Davidson, Margo",N00042903,D,PA05,PA,5,Margo Davidson
"Davidson, Rob",N00040913,D,MI02,MI,2,Rob Davidson
"Davidson, Warren",N00038767,R,OH08,OH,8,Warren Davidson
"Davis, Adam",N00042726,3,UT01,UT,1,Adam Davis
"Davis, Danny K",N00004884,D,IL07,IL,7,Danny K Davis
"Davis, J Jason",N00042840,R,IN07,IN,7,J Jason Davis
"Davis, James",N00042783,I,CA23,CA,23,James Davis
"Davis, John Timothy",N00042213,D,SC04,SC,4,John Timothy Davis
"Davis, Melissa",N00041563,D,GA07,GA,7,Melissa Davis
"Davis, Pat",N00041466,D,NM01,NM,1,Pat Davis
"Davis, Paul",N00041471,D,WV03,WV,3,Paul Davis
"Davis, Paul",N00041805,D,KS02,KS,2,Paul Davis
"Davis, Richard H",N00040556,D,AR04,AR,4,Richard H Davis
"Davis, Richmond",N00042449,R,MD07,MD,7,Richmond Davis
"Davis, Rodney",N00034784,R,IL13,IL,13,Rodney Davis
"Davis, Susan A",N00009604,D,CA53,CA,53,Susan A Davis
"Davison, Johnathan",N00042522,R,TX24,TX,24,Johnathan Davison
"Daw, Brad",N00041214,R,UT03,UT,3,Brad Daw
"Day, Roger",N00036127,D,IN04,IN,4,Roger Day
"Day, Tim",N00033328,R,TXS2,TX,S2,Tim Day
"Dayton, Margaret",N00041215,R,UT03,UT,3,Margaret Dayton
"De La Fuente, Ricardo",N00040637,D,FL24,FL,24,Ricardo De La Fuente
"De La Fuente, Rocky",N00038339,R,WAS1,WA,S1,Rocky De La Fuente
"De La Torre, John Farmer",N00041514,D,MO07,MO,7,John Farmer De La Torre
"De Leon, Kevin",N00042033,D,CAS2,CA,S2,Kevin De Leon
"De Stefano, Stefano",N00041290,R,TXS2,TX,S2,Stefano De Stefano
"Deal, James Robert",N00043634,3,WAS1,WA,S1,James Robert Deal
"Deam, Dirk",N00040826,D,IA04,IA,4,Dirk Deam
"Dean, Glen",N00043256,R,TN05,TN,5,Glen Dean
"Dean, James",N00041923,R,MTS1,MT,S1,James Dean
"Dean, Madeleine",N00042894,D,PA04,PA,4,Madeleine Dean
"Dean, Sarah",N00041924,D,MTS1,MT,S1,Sarah Dean
"Debates, Jaye",N00042429,R,IL16,IL,16,Jaye Debates
"Debono, Dan",N00041524,R,NY03,NY,3,Dan Debono
"Decillis, Mike",N00041160,D,NY11,NY,11,Mike Decillis
"Dee, Michael",N00042724,I,TX32,TX,32,Michael Dee
"Deen, Sam",N00042234,R,TX05,TX,5,Sam Deen
"DeFazio, Peter",N00007781,D,OR04,OR,4,Peter DeFazio
"DeGette, Diana",N00006134,D,CO01,CO,1,Diana DeGette
"Degrow, Richie",N00041600,D,TX10,TX,10,Richie Degrow
"Deitch, Douglas",N00043120,D,CA20,CA,20,Douglas Deitch
"Del Rio, Martin",N00042034,D,INS1,IN,S1,Martin Del Rio
"DeLauro, Rosa L",N00000615,D,CT03,CT,3,Rosa L DeLauro
"DelBene, Suzan",N00030693,D,WA01,WA,1,Suzan DelBene
"Delgado, Antonio",N00040741,D,NY19,NY,19,Antonio Delgado
"Della Pia, Max",N00041388,D,NY23,NY,23,Max Della Pia
"Delong, Paul",N00026048,R,PAS2,PA,S2,Paul Delong
"Demapan, Angel Aldan",N00041832,R,MP00,MP,0,Angel Aldan Demapan
"Demarco , Adam D.",N00042442,D,MD03,MD,3,Adam D. Demarco 
"Demarco, Adam",N00042092,D,DC00,DC,0,Adam Demarco
"Demartini, Frank",N00041765,R,CA43,CA,43,Frank Demartini
"Demasi, Chase",N00041479,R,CA12,CA,12,Chase Demasi
"Demings, Val",N00033449,D,FL10,FL,10,Val Demings
"deNeufville, Peter",N00043186,R,NJ11,NJ,11,Peter deNeufville
"Denham, Jeff",N00031593,R,CA10,CA,10,Jeff Denham
"Dennerll, Norbert",N00003534,D,OH04,OH,4,Norbert Dennerll
"Denney, Audrey",N00042063,D,CA01,CA,1,Audrey Denney
"Denning, Richard",N00043203,R,NY01,NY,1,Richard Denning
"Dent, Mark",N00042199,D,OH16,OH,16,Mark Dent
"Depizzo, Chris",N00041992,R,OH13,OH,13,Chris Depizzo
"Desai, Chintan",N00042046,D,AR01,AR,1,Chintan Desai
"DeSantis, Ron",N00034746,R,FL06,FL,6,Ron DeSantis
"Desaulnier, Mark",N00030709,D,CA11,CA,11,Mark Desaulnier
"Desjadon, Michael",N00042954,R,VA06,VA,6,Michael Desjadon
"Desjarlais, Scott",N00030957,R,TN04,TN,4,Scott Desjarlais
"Deters, Brian",N00042121,D,IL18,IL,18,Brian Deters
"Deutch, Ted",N00031317,D,FL22,FL,22,Ted Deutch
"Devine, Bill",N00043434,R,MD05,MD,5,Bill Devine
"Devine, John",N00036077,I,MAS1,MA,S1,John Devine
"Devito, Michael Jr",N00041159,D,NY11,NY,11,Michael Jr Devito
"DeWeese, Calvin",N00039160,L,TX13,TX,13,Calvin DeWeese
"Dewitt, Justin",N00042133,D,LA06,LA,6,Justin Dewitt
"Diangelo, Craig",N00042090,R,CT05,CT,5,Craig Diangelo
"Diaz, Minerva Dr",N00042770,R,VAS1,VA,S1,Minerva Dr Diaz
"Diaz-Balart, Mario",N00025337,R,FL25,FL,25,Mario Diaz-Balart
